UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÇAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÉE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÉALISATION
57770,Fright Night,"Vampire, vous avez dit vampire?",US,,,,,,2011,5,Comédie d'horreur,2018-03-31T01:55:00,Craig Gillespie 
68568,Monkey Kingdom,"Royaume des singes, Le",US,,,,,,2015,4,Documentaire,2018-04-01T15:00:00,"Mark Linfield, Alastair Fothergill "
68429,Selma,Selma,US,,,,,,2014,4,Drame historique,2018-04-02T00:23:00,Ava DuVernay 
63987,Betty & Coretta,Deux Femmes d'exception,US,CA,,,,,2012,5,Drame biographique,2018-04-02T02:20:00,Yves Simoneau 
28747,Lawrence of Arabia,Lawrence d'Arabie,GB,,,,,,1962,1,Drame historique,2018-04-06T00:30:00,David Lean 
54927,Barney's Version,"Monde de Barney, Le",CA,IT,,,,,2010,5,Comédie dramatique,2018-04-06T23:05:00,Richard Lewis 
4879,Taxi Driver,Taxi Driver,US,,,,,,1976,1,Drame de moeurs,2018-04-07T01:20:00,Martin Scorsese 
66740,"Unsere Mütter, unsere Väter",Génération guerre,DE,,,,,,2013,0,Drame de guerre,2018-04-08T02:00:00,Philipp Kadelbach 
57623,Winnie the Pooh,Winnie l'ourson,US,,,,,,2011,3,Film d'animation,2018-04-08T15:00:00,"Stephen J. Anderson, Don Hall "
32059,"Robe, The","Tunique, La",US,,,,,,1953,5,Drame biblique,2018-04-09T00:23:00,Henry Koster 
23726,California Suite,Suite California,US,,,,,,1978,4,Comédie,2018-04-09T02:35:00,Herbert Ross 
56890,Water For Elephants,De l'eau pour les éléphants,US,,,,,,2011,4,Drame,2018-04-13T00:35:00,Francis Lawrence 
48795,Cabotins,Cabotins,CA,QC,,,,,2010,4,Comédie dramatique,2018-04-13T23:05:00,Alain DesRochers 
23574,Midnight Express,"Express de minuit, L'",GB,,,,,,1978,4,Thriller,2018-04-14T01:05:00,Alan Parker 
66740,"Unsere Mütter, unsere Väter",Génération guerre,DE,,,,,,2013,0,Drame de guerre,2018-04-15T02:00:00,Philipp Kadelbach 
60488,Brave,Rebelle,US,,,,,,2012,4,Film d'animation,2018-04-15T15:00:00,"Mark Andrews, Brenda Chapman "
15329,Husbands and Wives,Maris et femmes,US,,,,,,1992,3,Comédie de moeurs,2018-04-16T00:23:00,Woody Allen 
26849,Barefoot in the Park,Pieds nus dans le parc,US,,,,,,1967,4,Comédie,2018-04-16T02:10:00,Gene Saks 
67940,3 Coeurs,3 Coeurs,FR,DE,BE,,,,2014,4,Drame sentimental,2018-04-20T00:35:00,Benoît Jacquot 
66839,"Ange gardien, L'","Ange gardien, L'",CA,QC,,,,,2014,4,Drame,2018-04-20T23:05:00,Jean-Sébastien Lord 
33644,"Broken Arrow, The","Flèche brisée, La",US,,,,,,1949,3,Western,2018-04-21T01:05:00,Delmer Daves 
66740,"Unsere Mütter, unsere Väter",Génération guerre,DE,,,,,,2013,0,Drame de guerre,2018-04-22T02:00:00,Philipp Kadelbach 
45142,WALL-E,WALL-E,US,,,,,,2008,3,Film d'animation,2018-04-22T15:00:00,Andrew Stanton 
16643,Postcards from the Edge,Bons baisers d'Hollywood,US,,,,,,1990,4,Comédie satirique,2018-04-23T00:23:00,Mike Nichols 
18029,Dead Ringers,Alter Ego,CA,,,,,,1988,4,Drame psychologique,2018-04-23T02:05:00,David Cronenberg 
68732,"Humbling, The",En toute humilité,US,IT,,,,,2014,5,Comédie dramatique,2018-04-27T00:35:00,Barry Levinson 
66427,"Petite Reine, La","Petite Reine, La",CA,QC,,,,,2014,4,Drame,2018-04-27T23:05:00,Alexis Durand-Brault 
62059,"Affaire Dumont, L'","Affaire Dumont, L'",CA,QC,,,,,2012,4,Drame,2018-04-28T00:35:00,Daniel Grou-Podz 
